,LMP_R1,LMP_R2,LMP_R3,LMP_R4,NML_genes.fpkm,PSO2_R1,PSO2_R2,PSO2_R3,PSO3_R1,PSO3_R2,PSO3_R3,PSO3_R4,
GAL3ST3,0.155473,0.034327,0,0.0332173,0.406036,0.0857346,0.0660914,0.276136,0.144926,0,0.349245,0.281281,
GALR1,0.0235287,0,0,0,0.0555789,0,0,0,0.0134224,0.012185,0,0.0489424,
GALR2,0.0698448,0,0,0,0,0.33577,0,0.344636,0,0.313534,0,0,
GBX1,0.0658062,0,0,0,0,0,0,0,0,0,0,0,
GBX2,0.0568522,0,0,0,0,0,0,0,0,0,0.0544004,0.0697981,
GDF5,0.0477321,0.215463,0.0306041,0,0.12045,0.231847,0,0.251248,0,0.125859,0.145913,0.065748,
GDF6,0.148342,0,0,0,0.247635,0.567239,0.451734,0.0174898,0.0113328,0.342334,0.737536,0.163651,
GDF7,0,0,0,0,0,0,0,0,0,0,0,0.261912,
GGTLC1,0,0,0,0,0,0,0,0,0,0,0,0,
GIPC3,0.953833,0.103168,0.0291471,0,0.285855,0.258463,0.262795,0.0341496,0.0365227,0.120338,0.0348489,0.354244,
GJA3,0.0454975,0.0457672,0.0350637,0,0.0188651,0.0496933,0.104737,0.0454898,0.212629,0.0593218,0.140316,0.0914212,
GJB5,0.785801,2.97247,2.03352,3.5608,0,0,0,4.16806,0,0.429368,0,0.118487,
GM140,0,0,0,0,0,0,0,0,0,0,0,0,
GMCL1P1,0.304515,0.394266,0.147506,0.104658,0.0576583,0.186032,0.250255,0.0427692,0.0193148,0.0895313,0.147941,0.13181,
GNG8,0,0,0,0,0,0,0,0,0,0,0,0,
GP9,0,0,0,0,0,0,0,0,0,0.0947097,0,0,
GPBAR1,0.231137,0.401628,0.481544,0.125378,1.00457,0.511252,0.725962,0.17498,0.224329,0.784232,0.30318,0.179057,
GPR101,0,0,0,0,0,0,0,0,0,0.0414962,0,0.183743,
GPR119,0.158109,0,0,0,0,0,0,0,0,0.168458,0,0.0732199,
GPR139,0,0,0,0,0,0,0,0,0,0.0516636,0.0890226,0,
GPR146,4.05577,0.788294,0.890937,1.45285,14.1327,3.95792,0.603124,2.13397,0.16791,0.321967,0.492122,1.05934,
GPR148,0,0,0,0,0,0,0,0,0,0.296195,0.0495181,0.250025,
GPR151,0,0,0,0,0.197575,0,0,0,0.0401256,0.246066,0.115159,0.33801,
GPR52,0,0,0.0554448,0,0,0.0285987,0,0.0464601,0.0616961,0.0885345,0.370166,0.286015,
GPR78,0,0.0419565,0,0.0535487,0,0.186793,0.28153,1.02485,0.254871,0.0698211,0.0253834,0.070216,
GPR88,0.0650828,0.0331622,0,0,0.0267717,0.046162,0.100784,0.0185486,0.0250497,0.0570882,0.0233714,0.0625142,
GSC2,0,0,0,0,0,0,0,0,0,0,0,0,
GSPT2,3.69211,4.37694,2.23501,0.0945904,4.0167,2.86039,2.74019,1.354,0.941942,0.899638,0.770777,0.650137,
GSTM2P1,2.26946,0.0454788,0.620877,0.289635,0.0528727,0.437171,0.574788,0.720405,0.131166,0.553705,0.497208,0.546886,
GSX1,0,0,0,0,0,0,0,0,0,0,0,0,
GSX2,0,0,0,0,0,0,0,0,0,0,0,0.119752,
GTSF1L,0,0,0.074902,0,0,0,0.272096,0,0,0.18226,0.192981,0.0971704,
GUCA2A,0,0,0,0,0,0,0,0,0,0,0,0,
GYG2P1,0,0,0,0,0,0,0,0,0,0,0,0,
H1FOO,0,0.0690982,0,0,0,0,0,0,0,0,0,0,
HAND1,0,0,0,0,0,0.0767783,0.0505678,0,0,0.0352433,0.0631313,0.123313,
HAR1B,0,0,0,0,0,0.135449,0,0,0,0.126355,0.175858,0,
HBBP1,0,0,0,0,0,0,0.134523,0,0,0.110211,0.0989705,0,
HBM,0,0,0,0,0,0,0,0,0,0,0,0,
HBQ1,0,0.368969,0,0.203708,0,0.374124,0,0,0,0.320149,0,0,
HCRT,0,0,0,0,0,0,0,0,0.194239,0.212879,0,0,
HDGFL1,0,0,0,0,0,0,0,0,0,0,0,0,
HES3,0,0,0,0,0,0,0,0,0,0,0,0,
HES5,0.12487,0,0,0,0,0,0,0,0.059196,0,0,0,
HES7,0,0,0,0.112461,0,0.111966,0.0468866,0.0522525,0,0,0,0.0375111,
HILS1,0,0,0,0,0,0,0,0,0,0,0,0,
HIST1H1A,0,0,0,0,1.00175,0,0.224711,0,0,0.0881072,0,0,
HIST1H1E,0.097966,0.763536,0.490666,0.675435,0.664975,0.225413,0.464463,1.09796,0.842005,0.510799,0,0.110755,
HIST1H2AA,0,0,0,0,0,0,0,0.873415,0,0,0,0,
HIST1H2APS1,0,0,0,0,0,0,0,0,0,1.25327,0.980225,0,
HIST1H2BA,0,0,0,0,0,0,0,0,0,1.4513,0,0.738623,
HIST1H2BO,0.463201,0,0.431075,1.44441,0,7.3911,1.47676,5.96515,0.779158,2.02249,0.320867,0,
HIST1H4A,0,0,0,0,0,0,0,0,0,0,0,0,
HIST1H4B,0,0,4.68904,0,8.01807,0,0,0,2.9134,0,0,2.47793,
HIST1H4C,101.705,540.895,206.567,225.817,314.96,147.252,242.535,348.716,34.8532,146.382,294.608,22.208,
HIST1H4E,0,11.6393,0,0,0,11.2718,10.7124,0,0,0,0,0,
HIST1H4F,0,0,0,5.59509,0,0,0,0,0,9.98057,0,0,
HIST1H4G,0,0,0,0,0,0,0,0,0,0,3.48048,0,
HIST1H4J,0,20.8302,11.5493,0,0,0,0,0,0,0,0,11.653,
HIST1H4L,0,0,0,0,0,0,0,0,0,2.88152,0,4.28711,
HIST3H3,0,0,0,0,0,0,0,1.23218,0,0,0,0,
HLA-DRB4,0,0,0,0,0,0,0,0,0,0,0,0,
HLA-DRB6,0,0,0,0,0,0,0,0,0,0,0,0,
HMGB4,0,0,0,0,0,0,0,0,0,0,0.0134522,0,
HMHB1,2.51718,0,0,0,0,0,0,0,0,1.62263,0,0,
HMX1,0,0,0,0,0,0,0,0,0,0,0,0,
HMX2,0,0,0,0,0,0,0,0,0,0.0476434,0,0,
HMX3,0,0,0,0,0,0,0,0,0,0,0,0,
HOXA1,0.318026,0.0767816,0.300372,0,0.135586,0.0748937,0.716922,0.398888,0,0.452182,0.285165,0.128052,
HOXA13,0,0,0,0,0,0,0.0170343,0,0,0.0300954,0.0154803,0.0312284,
HOXB-AS5,0,0,0,0,0,0.175621,0,0,0,0,0,0,
HOXB13,0,0,0,0,0,0,0,0,0,0.0172243,0.125155,0,
HOXC-AS5,0,0,0,0,0,0,0,0,0.0321278,0.0323724,0,0,
HOXC11,0,0,0,0,0,0,0,0,0.0240905,0.100221,0.070688,0.183144,
HOXC12,0,0,0,0,0,0,0,0,0,0,0,0,
HOXC13,0,0,0,0,0,0,0.0666613,0,0.0235749,0.101903,0.022576,0.0655407,
HOXD11,0,0,0,0,0,0,0,0,0,0.0953731,0,0.172407,
HOXD12,0,0,0,0,0,0,0,0,0,0,0,0.280058,
HOXD13,0,0,0,0,0,0.0332957,0.03475,0.0269312,0,0,0,0,
HPDL,1.13878,0.894603,0.605157,0.799421,0,1.01917,0.231325,1.30508,0.174501,0.988866,0.475021,0,
HPS6,6.3935,8.50359,3.64588,10.0448,3.70081,8.38858,5.42256,6.4148,0.865673,1.10834,1.91142,1.2437,
HPYR1,0.049056,0,0.0480444,0.0482064,0,0,0,0.0775851,0,0.301185,0.188104,0,
HSP90B2P,20.8294,12.0888,8.9869,6.90933,2.37128,8.76156,15.9932,4.72483,2.71296,5.2614,6.21344,2.93638,
HTA,0,0,0,0,0,0,0.0590231,0,0,0.0484364,0,0,
HTR1A,0,0,0,0,0.261962,0,0,0,0,0.0302928,0,0.11493,
HTR2A,2.29216,0.0255895,0.0318845,0,0.28666,0.16653,0.425135,0,0.0328537,0.148522,0.0941585,0.257644,
HTR5A,0,0,0,0,0,0,0,0,0,0.00644672,0,0.0334227,
HUS1B,0,0,0,0.350054,0,0,0,0.355964,0.281399,0.512856,0,0.255667,
IAPP,0,0,0,0,0,0,0,0.0423842,0,0.171302,0.0964384,0.0947473,
ID1,12.1245,25.4888,19.8006,4.97908,114.645,29.3338,4.78597,6.77714,2.19911,14.3608,5.79251,9.24149,
IFNE,0.410559,0.231678,0.816651,0.781066,0,0.144717,1.76173,0.101293,0.607456,0.159958,0.563064,0.136807,
IFNL4,0,0,0,0,0,0,0,0,0,0,0.0726417,0.107717,
IFNW1,0,0,0.0234027,0,0,0,0,0,0.0258763,0.12258,0.0712167,0.0484022,
IL17A,0,0,0,0,0,0,0,0,0,0,0.0155931,0,
IL9,0,0,0,0,0,0,0,0,0,0,0,0,
INGX,0,0,0.0511766,0,0,0,0.0572339,0.0735974,0.0435699,0.0448807,0,0.181562,
INSL4,0,0,0,0,0,0,0.556901,0,0,1.59669,0,0,
INSM1,0,0,0,0,0,0,0.0361471,0,0,0.0243628,0,0.629386,
INSM2,0,0.0378569,0.126865,0,0,0,0.0235262,0.028156,0,0.0367277,0.0850842,0,
IQCF5,0,0,0,0,0,0,0,0.448338,0,0,0,0,
IRGM,0,0.0258052,0,0.0262058,0,0.108684,0.0596036,0,0.0526007,0.0537842,0.024631,0,
IRX1,0,0,0,0,0,0,0,0,0,0.0480343,0,0.0693815,
IRX5,0.051761,0.0282294,0.214845,0.086831,0.140972,0,0.229895,0.802086,1.94495,0.519938,0.0242637,0.619061,
IVL,0,0.0581629,0,0,0,0,0,0,0.0240467,0.0269926,0,0.0285499,
KANSL1,0,0,0,0,0,0,0,0,0,0,0,0,
KCNA1,0.0329299,0,0,0,0.00813117,0.00357749,0.0744223,0.0170286,0,0.0703095,0.0329396,0.107847,
KCNA10,0,0,0,0,0,0,0,0,0,0,0,0,
KCNA5,1.3365,0.0237407,0,0,1.69786,0.0938161,0.231162,0.0680376,0.189453,0.157577,0.11899,0.588022,
KCNA7,0,0,0.0113362,0,0,0.0113844,0,0.0164015,0,0.0409601,0.0710296,0.066637,
KCNC1,0,0.01526,0.00942773,0,0.0387756,0.00796888,0.0295605,0.17119,0,0.0399076,0.068182,0.0533274,
KCNF1,0.635743,1.24492,1.36163,3.01793,0,15.554,0.108172,0.598846,0,0,0.337078,0.156386,
KCNIP4-IT1,0,0.00187743,0.00884092,0.00177151,0.00935239,0.00627626,0,0.0210805,0.0417017,0.0366384,0.0391942,0.0421879,
KCNJ1,0,0.0125272,0,0,0.0155214,0.0539663,0.066851,0.0215575,0.213738,0.0133385,0.0674601,0.096354,
KCNJ11,0.417443,0.201693,0.0580725,0.303193,0.431905,0.551175,0.191208,1.39267,0.233978,0.382773,0.311417,0,
KCNJ4,1.15745,2.00992,2.03014,2.98277,0.487759,1.53818,0,0.198234,0.072944,0.044297,0,0.305926,
KCNK3,2.79823,3.52862,0.48499,0.500052,2.11985,3.20085,0.267826,1.16296,0.551818,0.0546111,0.0857625,0.258625,
KCNK4,0,0,0,0,0,0,0,0,0.0802867,0,0,0.0676566,
KCNS2,0.283957,0.081373,0.0721264,0,0.0509002,0.098847,0,0,0.0141554,0.069754,0,0.0337234,
KCTD11,9.60867,15.3279,9.6287,12.1243,5.2949,16.9521,4.56366,5.19097,2.07066,3.63701,3.39509,3.8532,
KCTD12,52.6063,91.765,42.3692,59.2143,11.7975,38.7295,37.3622,27.7802,3.18244,9.54656,17.4938,12.7123,
KIAA1024,0.116833,0.125361,0.0971669,0.0995863,0.0379818,0.349101,0.339717,0.0867821,0.16104,0.193371,0.127715,0.0852467,
KIR2DL2,0,0,0,0,0,0,0,0,0,0,0,0,
KIR2DS1,0,0,0,0,0,0,0,0,0,0,0,0,
KIR2DS2,0,0,0,0,0,0,0,0,0,0,0,0,
KIR3DS1,0,0,0,0,0,0,0,0,0,0,0,0,
KIRREL3-AS3,0.0379261,0,0.0988887,0,0,0,0,0,0,0,0,0.0984291,
KLF1,0,0,0,0,0.603096,0.365231,0.178684,0,0,0.055432,0,0.153474,
KLF14,0.0554925,0.0659737,0.162093,0,0.667153,0,0,0,0.0533264,0.122701,0.0503634,0,
KLF16,5.72943,11.1249,6.24462,7.97993,1.61658,7.83954,4.32741,6.8548,2.41995,5.22437,1.66177,3.1704,
KLHL30,0.994699,0.238062,0,0.115256,0.0902193,0.361312,0.052068,1.22444,0,0.388299,0.0609564,0.322149,
KLHL40,0,0,0.0373979,0,0,0,0,0,0,0,0.0254598,0,
KLLN,0.418127,0.810573,0.441807,0.509061,0.107494,0.402593,0.167658,0.366666,0.219847,0.11456,0.34227,0.155325,
KRT37,0,0,0,0,0,0,0,0,0,0,0,0,
KRT38,0,0.286407,0.0171841,0,0,0,0,0,0,0,0.0145226,0,
KRTAP10-1,0,0,0,0,0,0,0,0,0,0.0827912,0,0,
KRTAP10-10,0,0,0,0,0,0,0,0,0,0,0.0666333,0.351697,
KRTAP10-11,0,0.0701593,0,0,0,0,0,0,0.0602618,0,0,0.310476,
KRTAP10-12,0,0,0,0,0,0,0,0,0,0,0.255742,0.128832,
KRTAP10-2,0,0,0,0,0,0,0,0,0,0,0,0,
KRTAP10-3,0,0,0,0,0,0,0,0,0,0,0,0,
KRTAP10-4,0,0,0,0,0,0,0,0,0,0,0.048508,0,
KRTAP10-5,0,0,0,0,0,0,0,0,0,0,0,0,
KRTAP10-6,0,0,0,0,0,0,0,0,0,0.0644336,0,0,
KRTAP10-7,0,0,0,0,0,0,0,0,0,0.0491681,0,0.226168,
KRTAP10-8,0,0,0,0,0,0,0,0,0,0,0,0,
KRTAP10-9,0,0,0,0,0,0,0,0,0,0,0.0582911,0,
KRTAP12-1,0,0,0,0,0,0.21,0,0,0,0,0,0.533209,
KRTAP12-2,0,0,0,0,0,0,0,0.335764,0,0,0,0,
KRTAP12-3,0,0,0,0,0,0,0,0,0,0,0,0,
KRTAP12-4,0,0,0,0,0,0,0,0,0,0,0,0,
KRTAP13-3,0,0,0,0,0,0,0,0,0,0,0,0,
KRTAP19-1,0,0,0,0,0,0,0,0,14.0649,9.88705,0,0,
KRTAP19-2,0,0,0,0,0,0,0,0,0,0,0,0,
KRTAP19-4,0,0,0,0,0,0,0,0,0,0,0,0,
KRTAP19-5,0,0,0,0,0,0,0,0,0,0,0,0,
KRTAP19-6,0,0,0,0,0,0,0,0,0,32.1387,0,19.7154,
KRTAP19-7,0,0,0,0,0,0,0,0,0,0,0,26.2065,
KRTAP19-8,0,0,0,0,0,0,0,0,0,0,0,0,
KRTAP2-1,0,0,0,0,0,0.13383,0,0,0,0,0,0,
KRTAP2-2,0,0,0,0,0,0,0,0,0,0,0,0,
KRTAP2-4,0,0,0,0,0,0,0,0,0,0,0,0,
KRTAP20-1,0,0,0,0,0,0,0,0,0,0,0,0,
KRTAP20-2,0,0,0,0,0,0,0,0,0,0,35.1724,0,
KRTAP20-3,0,0,0,0,0,0,0,0,0,8.61069,0,0,
KRTAP20-4,0,0,0,0,0,0,0,0,0,0,0,0,
KRTAP21-1,0,0,0,0,0,0,0,0,0,0,45.8728,0,
KRTAP21-2,0,0,0,0,0,0,0,0,0,13.0809,17.6835,0,
KRTAP21-3,0,0,0,0,0,0,0,0,0,0,28.5763,0,
KRTAP22-1,0,0,0,0,0,0,0,0,0,0,0,0,
KRTAP22-2,0,0,0,0,0,0,0,0,0,0,0,0,
KRTAP23-1,0,0,0,0,0,0,0,0,0,0,0,0,
KRTAP25-1,0,0,0,0,0,0,0,0,0,0,0,0,
KRTAP26-1,0,0,0,0,0,0,0,0.0774046,0,0.104847,0.186319,0,
KRTAP29-1,0,0,0,0,0,0,0,0,0,0.0574459,0,0.073058,
KRTAP4-1,0,0,0,0,0,0,0,0,0,0,0,0,
KRTAP4-3,0,0,0,0,0,0,0,0,0,0.0845204,0,0,
KRTAP4-5,0,0,0,0,0,0,0,0.140581,0,0.199418,0,0,
KRTAP5-1,0.54548,0.099066,0.220582,0.374648,0,0.505208,0.245456,0.571533,1.98002,0.374713,1.4678,0,
KRTAP5-2,0,0.47802,0,0,0,0,0,0,0,0,0,0.19914,
KRTAP5-3,0,0,0,0,0,0,0,0,0.0960194,0,0,0.454714,
KRTAP5-4,0.0682672,0,0,0.207895,0,0.213987,0,0,0,0,0.0643824,0.204124,
KRTAP5-5,0,0,0.0913893,0,0,0,0,0,0,0,0,0,
KRTAP5-6,0,0,0,0,0,0,0,0,0,0,0.216965,0,
KRTAP6-1,0,0,0,0,0,0,0,0,0,0,24.4493,0,
KRTAP6-2,0,0,0,0,0,0,0,0,0,0,0,0,
KRTAP7-1,0,0,0,0,0,0,0,0,0,0.128061,0,0,
KRTAP9-1,0,0,0,0,0,0,0,0,0,0.11402,0,0,
LBX1,0,0,0,0,0,0,0,0,0,0,0,0,
LCE1A,0,0,0,0,0,0,0,0,0,0.18603,0.157181,0,
LCE1F,0,0,0,0,0,0,0,0,0,0,0.169509,0,
LCE2A,0,0,0,0,0,0,0,0,0,0,0,0,
LCE2B,0,0,0,0,0,0,0,0,0,0,0,0.19257,
LCE2C,0,0,0,0,0,0,0,0,0,0,0.152714,0,
LCE3B,0,0,0,0,0,0,0,0,0,0,0,0,
LCE3C,0,0,0,0,0,0,0,0,0,0,0,0,
LCE3E,0,0,0,0,0,0,0,0,0,0,0,0,
LCE4A,0,0,0,0,0,0,0,0,0,0,0,0,
LCE5A,0.0842199,0,0,0,0,0,0,0,0,0.173416,0,0.298491,
LCN15,0.102903,0,0,0,0,0,0,0,0,0,0,0,
LCN9,0,0,0,0,0,0,0,0,0,0,0,0,
LGALS8-AS1,0,0,0,0,0,0,0,0,0,0,0,0,
LHX3,0,0,0,0,0,0,0,0,0,0,0,0,
LINC00029,0.0333761,0.0377631,0,0,0,0,0,0,0,0,0.0296375,0.0826187,
LINC00087,0.585108,0.687708,0.470315,0.223064,1.18386,1.14328,0.2942,2.41027,1.38778,0.0641984,0.805284,0.256289,
LINC00092,0.0966716,0.0711899,0.0408475,0,0.423681,0.178544,0.275252,0.0516553,0,0,0.0636717,0.240688,
LINC00159,0,0,0,0,0,90.9409,0,0,0,0,0,0,
LINC00162,0,0,0,0,0,0.624494,2.40551,0.175985,0,0.883445,0.302324,0.489442,
LINC00163,0,0,0,0,0,0,0,0.0437954,0.0268155,0.0315904,0.0251922,0.0442988,
LINC00189,0.292744,0,0.203351,0,0.429906,0.12351,0.274375,0,0.0445344,0.126771,0.287262,0.151922,
LINC00208,0,0,0,0,0,0,0,0,0,0.0459975,0,0,
LINC00310,0.118707,0.325416,0.29872,0.572174,2.43511,0.437783,0.0659654,0.297792,0.763179,0.121307,0.304815,0.0346916,
LINC00332,0.390302,0,0.343368,0,0,0,0,0,0,0,0,0,
LINC00421,0,0.0684922,0,0,0,0,0,0,0,0,0.118496,0,
LINC00457,0,0,0,0,0,0,0,0,0,1.17657,0,0,
LINC00473,0.194337,0.990452,0.0971769,0,0.841764,0,0,0,0,0.0924393,0.0222758,0.0252019,
LINC00523,0,0,0,0,0,0,0,0,0,0,0.0524942,0,
LINC00552,0,0,0,0.0180683,0,0,0,0,0,0.0363776,0,0,
LINC00583,0,0,0,0,0,0,0,0,0,0,0,0,
LINC00593,0,0,0,0,0,0,0,0,0,0,0,0,
LINC00696,0,0,0,0,0.102123,0,0.0207538,0.0766126,0.0319348,0.172968,0.0468064,0.172377,
LINGO1,0.830612,0.331683,0.212532,0.503876,0.441279,1.4007,0.386239,3.4605,0.128797,5.78689,6.43282,0.547144,
LINGO4,0.0209718,0.0933644,0.0271054,0,0,0.339952,0.0296481,0.418462,0.0408422,0,0.114111,0.0939263,
LOC100126784,0,0,0,0,0.566948,0,0,3.79942,0,0,0,0,
LOC100128361,0,0,0,0,0,0,0,0,0,0,0,0,
LOC100128822,2.53742,3.88619,4.6634,7.56879,2.25857,8.16447,4.01123,6.76202,4.00681,2.55914,1.23165,0.481882,
LOC100129216,0,0,0,0,0,0,0,0,0,0,0,0,
LOC100129518,0,0,0,0,0,0,0,0,0,0,0,0,
LOC100129520,0,0.0157621,0,0,0,0,0,0,0,0.0440235,0.0637813,0.0466718,
LOC100129617,0.160626,0.0204308,0.613606,0.100177,0,0.129323,0.157333,0.100595,0.197678,0.170308,0.0602305,0.0771142,
LOC100130155,0,0,0,0,0,0,0,0,0,0,0,0,
LOC100131138,0,0,0,0,0,0,0,4.32594,0,0,0,0,
LOC100131635,0,0,0,0,0,0,0,0,0,0,0,0,
LOC100132146,0.0152851,0,0,0,0,0.0332599,0,0.0270075,0.0180231,0.0324177,0.0506579,0,
LOC100134229,1.61282,1.00162,0.604497,0.685865,0.730559,4.28061,1.56762,1.45819,1.06811,3.02012,1.30136,0.424774,
LOC100233156,0,0,0,0,0,0,0,0,0,0,0,0,
LOC100271702,0,0,0,0,0,0,0,0.595299,0,0,0.0463786,0.0380001,
LOC100272217,0.243823,0.232022,0.988398,0.540246,0.754294,0.836104,0.404865,0.280013,1.19437,0.078344,0.463962,0.162005,
LOC100286922,0,0,0,0,0,0,0,0,0,0,0.121442,0.0776288,
LOC100287010,0,0,0,0,0,0,0,0,0,0,0,0.0381599,
LOC100288524,0,0.136769,0,0,0,0,0,0,0,0,0,0,
LOC100288966,0,0,0,0,0,0,0,0,0,0,0,0,
LOC100289673,0,0,0,0,0,0,0,0,0,0,0,0.117223,
LOC100335030,0.263952,0.223932,0.164719,0.125378,0.148552,0.157219,0.290004,0.171994,0.108922,0.202833,0.371512,0.18039,
LOC100498859,0,0.0827211,0.0828953,0,0.186258,0.17607,0.191838,0,0,0.0831032,0,0.164962,
LOC100505619,0,0,0,0,0,0,0,0,0,0.0349749,0,0.103144,
LOC100506082,2.81396,1.39154,1.5239,3.15762,2.91613,0,0.802997,4.0315,0,0.915354,0.701878,0,
LOC100506085,0.0103333,0,0.0640627,0,0,0,0,0,0.0428483,0.0807764,0.0470569,0.105342,
LOC100506730,2.11431,3.1244,1.74552,1.7976,0.62166,1.93127,0.544007,1.28892,1.27051,0.615551,1.56851,0.440162,
LOC100506895,0,0,0,0,0,0,0.0370779,0.018638,0,0,0,0.091216,
LOC100507412,0,0,0,0,0,0,0,0,0,0,0,0,
LOC100507634,0.152893,0.353506,0.45316,0.256777,0.112299,0.283587,0.129491,0.245856,0.500166,0.148404,0.122408,0.0917764,
LOC100630918,1.38782,0.573602,1.16194,2.28085,1.45815,1.7709,0.603093,2.3408,0.942914,0.847713,1.91973,0.318696,
LOC100653515,0.121036,0.0217436,0.18618,0,0.222184,0.386905,0.183506,0.64656,0.0558909,0.305823,0.440018,0.434592,
LOC147093,0.0212594,0.0454206,0,0,0.0263728,0,0,0,0.0216666,0,0.0194053,0.108397,
LOC147646,0.317489,0.0999365,0,0,0,0.0476604,0.182728,2.99779,0.555675,0.853413,0,0.169438,
LOC151484,0,0.0277762,0,0.026745,0,0,0,0.0795015,0,0,0,0.108538,
LOC153910,0,0.0310591,0,0,0,0,0,0,0.050102,0.131054,0,0.0345575,
LOC253044,0,0,0,0,0,0,0,0,0,0,0.0490971,0,
LOC255654,0,0,0,0,0,0,0,0,0,0.174157,0,0,
LOC282997,0.688434,0.723737,0.642369,0.405634,0.347469,1.47401,0.687443,3.14058,0.530937,0.378331,1.22135,0.616797,
LOC283332,0,0,0,0.0766149,0,0,0,0.0359697,0,0.0760171,0,0.279966,
LOC283688,0,0,0,0,0,0,0,0,0,0.0107935,0.0210108,0.0351386,
LOC283788,0,0,0,0,0,0,0,0,0,0,0,0,
LOC284661,0.0377281,0,0,0,0,0,0,0,0,0.0402033,0,0,
LOC284933,0,0,0,0,0,0,0,0.056885,0,0.0384068,0,0,
LOC285084,0,0,0,0,0.0640417,0.0140824,0.0164386,0.0416009,0.0135141,0.0274948,0,0.17386,
LOC285484,0.0390978,0,0.0479851,0,0,0,0.0532147,0,0,0,0,0.219045,
LOC285548,0,0.0609723,0.0676911,0,0,0.0611248,0,0.0443642,0.0557833,0,0.0256253,0.431532,
LOC286370,0,0,0,0,0,0,0,0,0,0.0315261,0.0275661,0.0759865,
LOC286442,0,0,0,0,0,0,0.333003,0,0,0,0.0219601,0,
LOC339568,0,0,0,0,0,0,0,0,0,0.0538465,0,0.0840403,
LOC339788,0,0,0,0,0,0,0,0,0,0,0.0142622,0.0149328,
LOC340073,0,0,0,0,0,0,0,0,0,0,0.0544816,0.0263092,
LOC340074,0,0,0,0,0,0.0209204,0,0,0,0.0216293,0,0,
LOC388499,5.5334,4.31435,1.88469,7.89198,1.2431,1.95937,2.02668,2.59349,0.661122,1.29383,0.95136,0.286813,
LOC389033,0,0,0,0,0,0,0,0,0,0,0,0,
LOC389332,0,0,0.145262,0.0589251,0,0,0,0,0,0,0,0.0696688,
LOC389831,0,0,0,0,0,0,0,0,0,0,0,0,
LOC389834,0,0,0,0,0,0,0,0,0,0,0,0,
LOC400752,0.529827,0.744069,0.618143,0.604202,0.110123,1.12433,0.158021,1.215,1.38978,0.553307,0.717083,0.0791024,
LOC401074,0,0,0,0,0,0,0,0,0,0,0,0,
LOC401557,0,0,0,0,0,0,0,0,0,0,0,0.0551722,
LOC402779,0,0,0,0,0,0,0,0,0,0,0.0312134,0,
LOC407835,8.97026,9.14032,5.12736,11.7008,3.58078,7.50744,7.90864,2.36047,1.14838,2.30239,3.41112,1.20398,
LOC440311,31.7615,25.7898,15.6587,20.342,19.5154,10.478,4.40952,3.94526,4.62997,6.43335,8.4143,2.16587,
LOC440925,0.0277745,0.0312707,0.144694,0,0.246277,0.245144,0.205577,1.2097,0.0814216,0,0.0774957,0,
LOC494127,0.365085,0.50755,0.212793,0.205556,0,0.124521,0.177824,0,0.0362876,0.155124,0.202498,0,
LOC642366,0.00666952,0.0100452,0.00643032,0,0.0161385,0.0181215,0.0454652,0.0176867,0.0442852,0.0211257,0.0730431,0.04564,
LOC643923,0.339992,0.0586738,0,0,0,0,0,0,0,0,0,0,
LOC644145,0,0,0,0,0,0,0,0,0,2.07927,0.775612,0,
LOC644936,0.816755,0.519781,0.223193,0.0730658,0.303183,0.811407,0.604326,0.451267,0.106774,0.287638,0.942577,0.500208,
LOC645249,0,0,0,0,0,0,0.585451,0,0,0,0.248112,0,
LOC646498,0,0,0,0,0,0,0,0,0,0,0,0.106661,
LOC646862,0,0,0,0,0,0,0,0,0,0,0,0,
LOC649352,0,0,0,0,0,0.903602,0,0,0,0,0,0.229968,
LOC728084,0,0,0,0.0524661,0.17574,0.0115247,0.0114349,0,0.0132489,0.0465775,0,0,
LOC730101,0.967662,0.470998,0.231714,0.23526,1.43428,1.54685,2.46231,1.30234,0.997426,0.153931,0.529532,0.249243,
LOC730668,0,0,0.0138193,0,0,0.0370868,0.0147263,0.0354168,0.0451033,0,0.0428904,0.114728,
LOC84931,0.403882,0.0890741,0.0982218,0.0589292,0,0.0292465,0,1.46537,0,0.0282634,0.121242,0.0345591,
LOH12CR2,0.755115,0.783466,0.569083,0.312927,1.89733,0.721548,0.360193,0.38875,1.02002,0.243141,0.929727,0.307651,
LRFN2,0,0,0,0,0.155821,0,0,0,0,0.0629304,0,0.0617583,
LRIT1,0,0,0,0,0,0,0,0,0,0,0,0.0370533,
LRIT2,0.0395801,0.0965653,0.103173,0,0,0.212966,0,0,0,0,0,0.052365,
LRRC10B,7.08934,24.7725,25.7354,10.0149,0.27192,0.3242,0.0550365,0.606933,0.574023,0,1.47873,0.933431,
LRRC18,0.894726,0.684349,1.0426,0.0457742,0,0.166624,0,0.107859,0,0.0909796,0.201399,0.064685,
LRRC26,0,0.101839,0,0,0,0,0,0,0,0,0.0794685,0,
LRRC30,0,0,0,0,0,0,0,0,0,0,0.066003,0,
LRRC37A4P,0,0,0,0,0,0,0,0,0,0,0,0,
LRRC38,0,0.0301316,0.0676482,0,0.0345895,0.608273,0.0371391,0.0439927,0.0277567,0,0.104316,0.13323,
LRRC52,0,0,0,0,0,0,0,0,0,0,0.0434124,0,
